number,value,datetime_start,datetime_complete,duration,params_batch_size,params_brightness,params_contrast,params_crop_scale_min,params_drop_rate,params_erasing_prob,params_erasing_scale_max,params_erasing_scale_min,params_label_smoothing,params_learning_rate,params_optimizer,params_saturation,params_weight_decay,state
0,0.8164926919138088,2026-02-06 20:28:44.369148,2026-02-06 20:36:15.001240,0 days 00:07:30.632092,16,0.055146123573950614,0.2924774630404986,0.5912726728878613,0.34044600469728353,0.18493564427131048,0.19585112746335845,0.03454599737656805,0.1416145155592091,5.6115164153345e-05,SGD,0.17486639612006327,0.0007114476009343421,COMPLETE
1,0.8497272898073789,2026-02-06 20:36:15.258776,2026-02-06 20:43:21.425263,0 days 00:07:06.166487,32,0.17855860960340292,0.19810364221551063,0.784665661176,0.41407038455720546,0.34301794076057535,0.16626289824631987,0.033641929894983325,0.03993475643167195,0.00011207606211860574,SGD,0.05696756190799966,1.9762189340280066e-05,COMPLETE
2,0.7464279056664069,2026-02-06 20:43:21.677600,2026-02-06 20:50:21.959161,0 days 00:07:00.281561,64,0.11469499540000423,0.21563057108849548,0.7908753883293675,0.11375540844608736,0.3080272084711243,0.19621361388138175,0.06373682234746238,0.1818640804157564,0.0008536189862866829,SGD,0.09675666141341166,0.0002661901888489054,COMPLETE
3,0.901029018091748,2026-02-06 20:50:22.203893,2026-02-06 20:57:08.643944,0 days 00:06:46.440051,64,0.11783725794347398,0.2571843772879823,0.7406590942262119,0.23013213230530574,0.2123738038749523,0.18523105624369066,0.06341568665265988,0.07773545793789641,0.0003550304858128307,AdamW,0.1035129990040384,0.0006584106160121611,COMPLETE
4,0.9646134622251366,2026-02-06 20:57:08.908691,2026-02-06 21:04:52.566210,0 days 00:07:43.657519,16,0.13961643213606817,0.07896726488128243,0.5932946965146987,0.4085081386743783,0.3493192507310232,0.1658895875715059,0.046471841988211936,0.014808930346818072,1.4096175149815848e-05,Adam,0.17946551388133902,0.0009133995846860973,COMPLETE
5,0.7080991223648511,2026-02-06 21:04:52.822017,2026-02-06 21:07:38.414083,0 days 00:02:45.592066,32,0.17344889909109767,0.18068320734549853,0.6909231233791342,0.3245108790277985,0.11016765069763808,0.15785729642168356,0.028631314159464356,0.1541934359909122,4.4706085467784903e-05,SGD,0.11413115275378245,0.0001544608907504709,PRUNED
6,0.9688021136677196,2026-02-06 21:07:38.679522,2026-02-06 21:15:19.747778,0 days 00:07:41.068256,16,0.28242441308564326,0.25203009489110423,0.7677676995469933,0.21590058116550723,0.44858423607508713,0.19664251472150895,0.08429376615192916,0.03224425745080089,4.253162363790868e-05,Adam,0.14501056347656355,3.35515102272148e-05,COMPLETE
7,0.8648979010301776,2026-02-06 21:15:20.010056,2026-02-06 21:22:38.498948,0 days 00:07:18.488892,16,0.17768682564439142,0.15435275078719474,0.5969608796062266,0.4442922333025374,0.14794614693347313,0.3857274259781298,0.047009213712290235,0.0013904261062381408,0.00011986281799901183,SGD,0.08331617157060955,0.00026443593078398644,PRUNED
8,0.956289362373132,2026-02-06 21:22:38.750904,2026-02-06 21:29:37.824078,0 days 00:06:59.073174,32,0.2023910834949742,0.1756697558072154,0.543468461627367,0.21393619775098704,0.2114585856946446,0.2098904726667431,0.09266127087733231,0.007377389470906559,0.00010903884523201111,AdamW,0.05772181268749841,0.00012854549964879015,COMPLETE
9,0.9648999974394059,2026-02-06 21:29:38.075391,2026-02-06 21:36:27.420865,0 days 00:06:49.345474,64,0.18394367101868964,0.07257244251360208,0.6772678829564726,0.35292233223743186,0.22831202598869435,0.16019378538869097,0.03492148083198834,0.12670594215217895,9.525889086580776e-05,AdamW,0.1752953743383857,0.0009056311714376344,COMPLETE
10,0.9609830841329892,2026-02-06 21:36:27.677162,2026-02-06 21:44:10.503868,0 days 00:07:42.826706,16,0.29325902571109275,0.25932946533607226,0.733624653145459,0.10911178707901181,0.492466227996852,0.25998730113207064,0.09424617134951335,0.07605859205036213,1.1722636308848833e-05,Adam,0.1440325467359852,2.331018299885666e-06,COMPLETE
11,0.9206100685039807,2026-02-06 21:44:10.757090,2026-02-06 21:48:18.181322,0 days 00:04:07.424232,64,0.2880429784480049,0.07434003911272381,0.6689428341732657,0.22495207461715436,0.4566072424300473,0.24290662156803988,0.07945041256018916,0.11746648348030214,3.475529915585461e-05,AdamW,0.1453527440263684,1.9350268866581915e-05,PRUNED
12,0.9358314384551807,2026-02-06 21:48:18.440369,2026-02-06 21:52:26.640741,0 days 00:04:08.200372,64,0.24451281206137399,0.12396251963788624,0.7174643442123361,0.49974497545662067,0.4098860273610446,0.34033980763530547,0.07838678636253611,0.09893034527948143,2.5372668088888164e-05,Adam,0.1993221563619339,3.855157879297612e-06,PRUNED
